Model,RMSE,MAE,MAPE%
LSTM,0.010248891252113899,0.0071577678111675695,1.3425307864964813
XGBoost,0.6295168579296971,0.43338918234018525,17.448923631520348
Prophet,4.483015202298054,3.638259809714447,194.38702112441325
